Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_0,"-0,0009365","-0,0058418","0,099851",0,0,0,"2,1851","0,0051732","-1,2089E-06","-9,3412E-06","0,0017007","-1,7834E-06","0,0052796",0,0,0,0,0,0,package://urdf_robox/meshes/Link_0.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_robox/meshes/Link_0.STL,,Mont_Tronco-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RA_Link,"0,0045235","-0,026967","-0,098662",0,0,0,"0,5894","0,00047468","1,0799E-05","6,4186E-05","0,00049189","-3,7707E-05","0,00019687",0,0,0,0,0,0,package://urdf_robox/meshes/RA_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_robox/meshes/RA_Link.STL,,Montagem ESQUERDO-1,Origin_R_SHLD,Axis_R_SHLD,R_SHLD,revolute,"-0,010154","-0,1168","0,1415",0,0,0,Link_0,0,-1,0,0,0,0,0,,,1,"0,1",,,,
LA_Link,"0,0079324","0,026967","-0,098447",0,0,0,"0,5894","0,00048631","5,9665E-06","-2,7459E-05","0,00049189","3,8767E-05","0,00018524",0,0,0,0,0,0,package://urdf_robox/meshes/LA_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_robox/meshes/LA_Link.STL,,Montagem ESQUERDO-2,Origin_L_SHLD,Axis_L_SHLD,L_SHLD,revolute,"-0,010154","0,1168","0,1415",0,0,0,Link_0,0,1,0,0,0,0,0,,,1,"0,1",,,,
RL_Link_1,"0,010497","-1,9422E-05","-0,022078",0,0,0,"0,058446","6,2082E-06","1,4991E-19","-8,3541E-08","2,7846E-05","-2,1332E-10","2,7832E-05",0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_1.STL,,MONT_T_PÉ-1,Origin_RHIP_UX,Axis_RHIP_UX,RHIP_UX,revolute,"0,0022959","-0,06","-0,0125",0,0,0,Link_0,1,0,0,0,0,0,0,,,1,"0,1",,,,
RL_Link_2.1,"0,001297","-0,016604","-0,064305",0,0,0,"0,040432","1,6876E-05","4,3029E-08","1,8608E-07","1,4459E-05","5,4723E-07","5,337E-06",0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_2.1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_2.1.STL,,CAMBITO DIREITO-3,Origin_RHIP_UY1,Axis_RHIP_UY1,RHIP_UY1,revolute,"0,0424","-0,0038","-0,04",0,0,0,RL_Link_1,0,1,0,0,0,0,0,,,1,"0,1",,,,
RL_Link_3.1,"6,7896E-07","-0,015999","-0,02",0,0,0,"0,016354","4,9553E-06","5,8292E-21","1,2594E-10","5,6008E-06","2,788E-20","1,2454E-06",0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_3.1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_3.1.STL,,burilando-2,Origin_RUKNEE_1,Axis_RUKNEE_1,RUKNEE_1,revolute,"0,0033786","-0,0003","-0,11535",0,0,0,RL_Link_2.1,0,-1,0,0,0,0,0,,,1,"0,1",,,,
RL_Link_4.1,"0,00086538","-0,016397","-0,051081",0,0,0,"0,040432","1,6859E-05","7,4512E-08","4,7943E-07","1,4459E-05","-5,4384E-07","5,3539E-06",0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_4.1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_4.1.STL,,CAMBITO ESQUERDO-4,Origin_RLKNEE_1,Axis_RLKNEE_1,RLKNEE_1,revolute,0,"-0,0002","-0,04",0,0,0,RL_Link_3.1,0,1,0,0,0,0,0,,,1,"0,1",,,,
RL_Link_5.1,"4,8073E-14","-0,016301","-0,0069982",0,0,0,"0,009241","9,2142E-07","3,0343E-21","7,5891E-22","1,3392E-06","-1,0666E-10","7,5801E-07",0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_5.1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_5.1.STL,,ENCAIXE_ROT_PÉ-1,Origin_RANKLE_UY1,Axis_RANKLE_UY1,RANKLE_UY1,revolute,"0,0032786","0,0001","-0,11535",0,0,0,RL_Link_4.1,0,1,0,0,0,0,0,,,1,"0,1",,,,
RL_Link_2.2,"0,00129701081926098","-0,0157029579856645","-0,0643048494093886",0,0,0,"0,0404318537783237","1,68760034867383E-05","-4,30285594964813E-08","1,86082751575579E-07","1,44585123359687E-05","-5,47228512891041E-07","5,33695846577938E-06",0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_2.2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_2.2.STL,,CAMBITO ESQUERDO-2,Origin_RHIP_UY2,Axis_RHIP_UY2,RHIP_UY2,revolute,"0,0424","0,036","-0,04",0,0,0,RL_Link_1,0,-1,0,0,0,0,0,,,1,"0,1",,,,
RL_Link_3.2,"6,78956644739603E-07","-0,015799498386574","-0,0199999999884836",0,0,0,"0,0163538818931416","4,95531094113231E-06","5,98101693181847E-21","1,25942704734614E-10","5,60081861240146E-06","2,86776987999975E-20","1,2454214959182E-06",0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_3.2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_robox/meshes/RL_Link_3.2.STL,,burilando-1,Origin_RUKNEE_2,Axis_RUKNEE_2,RUKNEE_2,revolute,"0,0033786","-0,0001","-0,11535",0,0,0,RL_Link_2.2,0,-1,0,0,0,0,0,,,1,"0,1",,,,
