Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
TRUNK,"8,80812350529531E-05","0,0174189130631293","0,00119978114318642",0,0,0,"2,0532534728131","0,00187086094008197","3,71734862619082E-07","3,35795028816791E-07","0,00246636871242453","-3,76327841832146E-05","0,00348484403758483",0,0,0,0,0,0,package://webots_natasha/meshes/TRUNK.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/TRUNK.STL,,tronco_principal-1;suporte_cabeça-1;apoio_corda-2;apoio_corda-1;Motor_MX106-3;Motor_MX106-4;Motor_MX106-6;Motor_MX106-1;Motor_MX106-2;apoio_bateria-1;Intel NUC6i3SYK-1;Caixa de Força Kid-1,Sistema de coordenadas1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LARM_0_link,"0,00940240087518626","-0,00459323020780422","2,5625727469919E-05",0,0,0,"0,0227126661379003","1,55987340377569E-05","1,67253121532138E-06","-9,33108665796419E-09","1,69257189782125E-05","-5,55483641362854E-08","6,96937791863942E-06",0,0,0,0,0,0,package://webots_natasha/meshes/LARM_0_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/LARM_0_link.STL,,braço_esquerdo-1/Suporte-braço-1,Origin_LARM_0,Axis_LARM_0,LARM_0,continuous,"0,1318","0,0615","0,0130000000000001",0,0,0,TRUNK,-1,0,0,,,,,,,,,,,,
LARM_1_link,"2,69936341457111E-06","-0,0231641298245469","-0,0307096397868224",0,0,0,"0,313942828750373","0,000201312815423622","-5,05107454374458E-09","7,03025970863016E-09","7,42237915855182E-05","-2,86966238425839E-06","0,000166600144989775",0,0,0,0,0,0,package://webots_natasha/meshes/LARM_1_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/LARM_1_link.STL,,braço_esquerdo-1/Motor_MX106-1;braço_esquerdo-1/Peça3-2;braço_esquerdo-1/suporte-1-2;braço_esquerdo-1/Peça3-1;braço_esquerdo-1/suporte-1-1;braço_esquerdo-1/IDEIA-2-ajs-3;braço_esquerdo-1/IDEIA-2-ajs-4;braço_esquerdo-1/rolamento-1,Origin_LARM_1,Axis_LARM_1,LARM_1,continuous,"0,0338426329686678","-0,0236234517093273","0,0309322750601258","-0,00557896304881236",0,0,LARM_0_link,0,"-0,00557893410814587","0,999984437626015",,,,,,,,,,,,
LARM_2_link,"0,0306962270533953","-0,0274919403142502","-0,000520647910192906",0,0,0,"0,281496848216382","0,000156753433227665","2,86965668977682E-06","-7,03145337261327E-09","7,28961406660007E-05","4,98720536010235E-06","0,000170904146038926",0,0,0,0,0,0,package://webots_natasha/meshes/LARM_2_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/LARM_2_link.STL,,braço_esquerdo-1/Motor_MX106-2;braço_esquerdo-1/rolamento-2;braço_esquerdo-1/Mao-ajs-2;braço_esquerdo-1/Mao-ajs-1;braço_esquerdo-1/cilindro_mao-1,Origin_LARM_2,Axis_LARM_2,LARM_2,continuous,"-0,0307","-0,113500031528617","-0,0307999828025723","0,00373494942577696",0,0,LARM_1_link,-1,0,0,,,,,,,,,,,,
RARM_0_link,"-0,0094024008751864","-0,00459330169048298","-1,11022302462516E-16",0,0,0,"0,0227126661379004","1,5598734037757E-05","-1,67255724428274E-06","-3,87498910421191E-21","1,69260288836989E-05","-9,86871210932432E-21","6,9690680131533E-06",0,0,0,0,0,0,package://webots_natasha/meshes/RARM_0_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/RARM_0_link.STL,,braço_direito-1/Suporte-braço-1,Origin_RARM_0,Axis_RARM_0,RARM_0,continuous,"-0,1318","0,0615","0,0130000000000001",0,0,0,TRUNK,1,0,0,,,,,,,,,,,,
RARM_1_link,"2,7276139840382E-06","-0,0234065801315187","-0,0304535220772558",0,0,0,"0,310690942542616","0,000201125130689468","-5,05107366001799E-09","7,03026375288185E-09","7,40361068543428E-05","-2,86965668919047E-06","0,000166229085720221",0,0,0,0,0,0,package://webots_natasha/meshes/RARM_1_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/RARM_1_link.STL,,braço_direito-1/Motor_MX106-1;braço_direito-1/Peça3-1;braço_direito-1/suporte-1-1;braço_direito-1/IDEIA-2-ajs-3;braço_direito-1/Peça3-2;braço_direito-1/suporte-1-2;braço_direito-1/IDEIA-2-ajs-4,Origin_RARM_1,Axis_RARM_1,RARM_1,continuous,"-0,0338426329686679","-0,0237956531967125","0,0307999999999999",0,0,"0,00782300250560052",RARM_0_link,0,0,1,,,,,,,,,,,,
RARM_2_link,"-0,0308311537115564","-0,0273506992114726","-0,000523962569397157",0,0,0,"0,282950517834651","0,000156898152501548","-2,86965669176101E-06","-7,03145069111552E-09","7,29711487587658E-05","4,99731421083855E-06","0,00017097915418613",0,0,0,0,0,0,package://webots_natasha/meshes/RARM_2_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/RARM_2_link.STL,,braço_direito-1/Motor_MX106-2;braço_direito-1/espacador_joelho-1;braço_direito-1/Mao-ajs-2;braço_direito-1/Mao-ajs-1;braço_direito-1/cilindro_mao-1,Origin_RARM_2,Axis_RARM_2,RARM_2,continuous,"0,0307","-0,113500031528617","-0,0308000171974276","0,0178992667652849",0,0,RARM_1_link,"0,999969400471955","-0,00782166957684035","0,000140017103543219",,,,,,,,,,,,
LLEG_0_link,"0,0061201601702185","-0,0103947051970066","0,000159150199943475",0,0,0,"0,0284955331549314","5,85885511181256E-05","3,55586878465069E-06","1,21838941386473E-06","5,64262612619879E-05","9,24677152737366E-08","1,17667691761212E-05",0,0,0,0,0,0,package://webots_natasha/meshes/LLEG_0_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/LLEG_0_link.STL,,perna_esquerda-1/quadril-2,Origin_LLEG_0,Axis_LLEG_0,LLEG_0,continuous,"0,024","-0,1028","-0,00200000000000009",0,0,0,TRUNK,0,1,0,,,,,,,,,,,,
LLEG_2_link,"4,84696185730632E-05","-0,0147653878990638","0,0547754285306541",0,0,0,"0,181419971117388","7,50577632887605E-05","-4,58251596389431E-07","-9,69786736504418E-14","4,76781981045591E-05","4,49008092003896E-07","7,57823946481036E-05",0,0,0,0,0,0,package://webots_natasha/meshes/LLEG_2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://webots_natasha/meshes/LLEG_2_link.STL,,perna_esquerda-1/doismotores-1;perna_esquerda-1/rolamento-3,Origin_LLEG_2,Axis_LLEG_2,LLEG_2,continuous,"0,0254874966743732","-0,0342918830920367","-0,0533554715487941",0,"-0,0259983948923962",0,LLEG_0_link,"0,0259954662005367",0,"0,999662060767046",,,,,,,,,,,,
LLEG_1_link,"-0,0301478736024178","-0,0955222192287401","-0,000991086420813109",0,0,0,"0,129982121306577","8,08701115078856E-05","-1,06333439815881E-06","-8,49932789829453E-09","2,79281577231703E-05","-5,90071071413239E-07","8,47521728073395E-05",0,0,0,0,0,0,package://webots_natasha/meshes/LLEG_1_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://webots_natasha/meshes/LLEG_1_link.STL,,perna_esquerda-1/Coxa-3;perna_esquerda-1/Coxa-4;perna_esquerda-1/MOTOR_JOELHO-1,Origin_LLEG_1,Axis_LLEG_1,LLEG_1,continuous,"0,031",0,"0,0749999999999999",0,0,0,LLEG_2_link,"-0,999662060767046",0,"0,0259954662005255",,,,,,,,,,,,
